"FIPS","County","State","Poverty_Sub125","SNAP_Recipients","SNAP_ParticipationRatio","Population"
"21009","Barren County","Kentucky",10449.9,"8045",0.7698638264481,"42164"
"21013","Bell County","Kentucky",9834.279,"10663",1.08426860779524,"28706"
"21015","Boone County","Kentucky",11813.568,"10544",0.892533060291353,"119290"
"21019","Boyd County","Kentucky",10711.475,"9964",0.9302173603542,"49580"
"21029","Bullitt County","Kentucky",10096.24,"8873",0.878842024357583,"74473"
"21035","Calloway County","Kentucky",7435.103,"4103",0.551841716247912,"37281"
"21037","Campbell County","Kentucky",12683.029,"10751",0.847668171380827,"90532"
"21043","Carter County","Kentucky",7505.712,"7555",1.00656673211016,"27675"
"21047","Christian County","Kentucky",18097.56,"13996",0.773363923092395,"74179"
"21049","Clark County","Kentucky",7169.67,"7374",1.02849921962936,"35634"
"21051","Clay County","Kentucky",9365.097,"9490",1.01333707488561,"21698"
"21059","Daviess County","Kentucky",17262.724,"15620",0.904839815547071,"96762"
"21067","Fayette County","Kentucky",58879.803,"34599",0.587620851924386,"296765"
"21071","Floyd County","Kentucky",13760.208,"13749",0.999185477428829,"39446"
"21073","Franklin County","Kentucky",9193.272,"7881",0.857257350810462,"49288"
"21083","Graves County","Kentucky",9232.128,"6391",0.692256433186368,"37205"
"21089","Greenup County","Kentucky",7206.606,"6470",0.897787391179704,"36885"
"21093","Hardin County","Kentucky",16663.014,"13658",0.819659636605958,"106933"
"21095","Harlan County","Kentucky",11483.279,"10010",0.871702237662257,"29232"
"21101","Henderson County","Kentucky",9331.712,"8355",0.89533410375288,"46302"
"21107","Hopkins County","Kentucky",10707.312,"9118",0.851567601653898,"46899"
"21111","Jefferson County","Kentucky",140976.746,"127480",0.904262607962309,"742172"
"21113","Jessamine County","Kentucky",8957.787,"7377",0.823529293563243,"48716"
"21117","Kenton County","Kentucky",23741.184,"22604",0.952100788233645,"159876"
"21121","Knox County","Kentucky",13640.413,"12794",0.937948139840047,"31893"
"21125","Laurel County","Kentucky",15491.444,"14789",0.954656002371373,"58944"
"21133","Letcher County","Kentucky",7867.6,"7559",0.960775840154558,"24551"
"21137","Lincoln County","Kentucky",7013.292,"5961",0.849957480738004,"24741"
"21145","McCracken County","Kentucky",12849.729,"10672",0.830523351893258,"65539"
"21147","McCreary County","Kentucky",7437.099,"6854",0.921595907221351,"18314"
"21151","Madison County","Kentucky",17525.898,"13683",0.780730322634538,"83157"
"21177","Muhlenberg County","Kentucky",7393.776,"6137",0.830022440495898,"31493"
"21179","Nelson County","Kentucky",8319.168,"6924",0.832294767938332,"43609"
"21193","Perry County","Kentucky",10036.143,"10273",1.02360040107041,"28725"
"21195","Pike County","Kentucky",18130.961,"16734",0.922951629535798,"64952"
"21199","Pulaski County","Kentucky",17210.742,"13428",0.780210405803538,"63135"
"21209","Scott County","Kentucky",7230.158,"6584",0.91063016880129,"47443"
"21227","Warren County","Kentucky",25576.128,"17527",0.68528746806397,"114172"
"21231","Wayne County","Kentucky",7752.251,"5502",0.709729341838906,"20816"
"21235","Whitley County","Kentucky",12260.784,"12110",0.987701928359557,"35586"
"22001","Acadia Parish","Louisiana",15810.128,"13613",0.861030347129384,"61844"
"22005","Ascension Parish","Louisiana",15376.776,"13046",0.848422322078438,"107891"
"22009","Avoyelles Parish","Louisiana",12347.533,"11853",0.95994884160261,"42103"
"22015","Bossier Parish","Louisiana",19474.525,"14649",0.752213468621186,"117522"
"22017","Caddo Parish","Louisiana",66550.283,"55954",0.840777792034333,"255543"
"22019","Calcasieu Parish","Louisiana",39747.076,"34041",0.856440358027846,"193230"
"22029","Concordia Parish","Louisiana",7820.9,"5801",0.741730491375673,"20806"
"22031","De Soto Parish","Louisiana",7271.856,"5523",0.759503488517925,"26734"
"22033","East Baton Rouge Parish","Louisiana",98868.191,"78384",0.792813130362626,"440909"
"22039","Evangeline Parish","Louisiana",9251.67,"9233",0.997981985954968,"33990"
"22045","Iberia Parish","Louisiana",18891.055,"18478",0.978134889766612,"73236"
"22051","Jefferson Parish","Louisiana",79390.752,"58658",0.7388517997663,"432449"
"22055","Lafayette Parish","Louisiana",44011.011,"30191",0.685987422556596,"222051"
"22057","Lafourche Parish","Louisiana",19690.942,"15711",0.797879552943683,"96328"
"22061","Lincoln Parish","Louisiana",13054.917,"8626",0.660747211184874,"46801"
"22063","Livingston Parish","Louisiana",19397.682,"18680",0.963001661744945,"128549"
"22067","Morehouse Parish","Louisiana",9009.176,"9646",1.07068615376145,"27925"
"22069","Natchitoches Parish","Louisiana",13968.185,"10801",0.773257227048468,"39605"
"22071","Orleans Parish","Louisiana",87076.585,"89665",1.029725729368,"347858"
"22073","Ouachita Parish","Louisiana",38300.86,"36294",0.947602743123784,"153910"
"22079","Rapides Parish","Louisiana",31137.561,"27655",0.88815562657589,"131779"
"22089","St. Charles Parish","Louisiana",8316.616,"7545",0.907219955808949,"52771"
"22095","St. John the Baptist Parish","Louisiana",9578.888,"10250",1.07006157708494,"45813"
"22097","St. Landry Parish","Louisiana",27858.768,"24380",0.875128433533026,"83454"
"22099","St. Martin Parish","Louisiana",11202.75,"10617",0.947713731003548,"52214"
"22101","St. Mary Parish","Louisiana",14380.887,"13173",0.916007475755842,"54579"
"22103","St. Tammany Parish","Louisiana",28721.177,"22675",0.789487143928677,"234568"
"22105","Tangipahoa Parish","Louisiana",32763.476,"30365",0.926794214386776,"121425"
"22109","Terrebonne Parish","Louisiana",24553.088,"20773",0.846044293899,"111861"
"22113","Vermilion Parish","Louisiana",12778.057,"10002",0.782748112643417,"58070"
"22115","Vernon Parish","Louisiana",10007.088,"6874",0.686913115983391,"52769"
"22117","Washington Parish","Louisiana",15542.13,"13217",0.850398240138256,"47093"
"22119","Webster Parish","Louisiana",11265.9,"9551",0.847779582634321,"41215"
"23001","Androscoggin County","Maine",19845.312,"25883",1.30423749447728,"107623"
"23003","Aroostook County","Maine",15574.02,"16423",1.05451257928268,"71720"
"23005","Cumberland County","Maine",36669.24,"38444",1.04839914871429,"281457"
"23009","Hancock County","Maine",8206.536,"7762",0.945831468965712,"54364"
"23011","Kennebec County","Maine",19916.232,"24383",1.22427776499089,"122143"
"23017","Oxford County","Maine",10909.44,"14252",1.30639152880441,"57752"
"23019","Penobscot County","Maine",29368.982,"29924",1.01889810140508,"153849"
"23025","Somerset County","Maine",12630.73,"14126",1.11838349802426,"52231"
"23027","Waldo County","Maine",7557.858,"8313",1.0999148171347,"38801"
"23029","Washington County","Maine",8514.888,"8979",1.05450594300242,"32811"
"23031","York County","Maine",23398.56,"28378",1.21280967717672,"197216"
"24001","Allegany County","Maryland",13088.4,"13362",1.02090400660127,"75021"
"24003","Anne Arundel County","Maryland",37146.415,"32653",0.87903502935613,"539198"
"24005","Baltimore County","Maryland",82777.626,"79559",0.961117198504823,"805709"
"24013","Carroll County","Maryland",12251.25,"9560",0.780328537904295,"167241"
"24015","Cecil County","Maryland",11650.376,"13640",1.17077766417153,"101199"
"24017","Charles County","Maryland",9412.788,"13547",1.43921227164577,"147086"
"24021","Frederick County","Maryland",15676.64,"15424",0.983884301738127,"234122"
"24025","Harford County","Maryland",17493.136,"19399",1.10894924729334,"245177"
"24027","Howard County","Maryland",15209.15,"13513",0.888478317328713,"288376"
"24031","Montgomery County","Maryland",76069.449,"51416",0.675908668669337,"976203"
"24033","Prince George's County","Maryland",87309.285,"92976",1.06490392173066,"865271"
"24037","St. Mary's County","Maryland",10205.858,"11906",1.16658491623144,"105786"
"24043","Washington County","Maryland",20447.3,"20114",0.983699559355025,"147558"
"24045","Wicomico County","Maryland",18302.48,"17645",0.964076999401174,"98843"
"24047","Worcester County","Maryland",7148.277,"6195",0.866642409072844,"51431"
"24510","Baltimore city","Maryland",160610.792,"193098",1.20227288338134,"620583"
"25001","Barnstable County","Massachusetts",20709.5,"18547",0.895579323498877,"215937"
"25003","Berkshire County","Massachusetts",19942.602,"18145",0.909861210688555,"131144"
"25005","Bristol County","Massachusetts",79777.2,"82204",1.03041971891718,"548612"
"25009","Essex County","Massachusetts",98936.879,"101998",1.03094014113787,"744644"
"25011","Franklin County","Massachusetts",10921.92,"10054",0.92053411854326,"71369"
"25013","Hampden County","Massachusetts",97416.788,"115151",1.18204472108031,"463678"
"25015","Hampshire County","Massachusetts",19475.82,"12640",0.649009900481726,"158094"
"25017","Middlesex County","Massachusetts",144255.371,"106443",0.737878938316966,"1506,008"
"25021","Norfolk County","Massachusetts",53467.189,"39093",0.731158692483347,"672376"
"25023","Plymouth County","Massachusetts",44840.82,"47235",1.05339286837306,"495780"
"25025","Suffolk County","Massachusetts",168252.336,"144453",0.858549743998799,"723323"
"25027","Worcester County","Massachusetts",94837.432,"103818",1.09469433967803,"799553"
"26005","Allegan County","Michigan",17765.545,"17007",0.957302463842229,"111503"
"26015","Barry County","Michigan",7575.936,"8763",1.15668875766638,"59044"
"26017","Bay County","Michigan",18619.914,"20858",1.1201985143433,"107703"
"26021","Berrien County","Michigan",32759.512,"32662",0.997023398883353,"156805"
"26023","Branch County","Michigan",9081.681,"8640",0.951365721830573,"45137"
"26025","Calhoun County","Michigan",28996.056,"33684",1.16167522921048,"136072"
"26027","Cass County","Michigan",9197.805,"10368",1.12722546303167,"52196"
"26033","Chippewa County","Michigan",7636.832,"6193",0.810938357685491,"38602"
"26035","Clare County","Michigan",8388.471,"8508",1.01424919988398,"30927"
"26037","Clinton County","Michigan",8699.786,"7162",0.823238640582653,"75426"
"26045","Eaton County","Michigan",12574.906,"14008",1.11396458947685,"107838"
"26049","Genesee County","Michigan",97628.916,"114048",1.1681784933472,"424926"
"26055","Grand Traverse County","Michigan",10841.74,"12798",1.18043782640056,"87043"
"26057","Gratiot County","Michigan",9093.028,"7756",0.852961191805414,"42461"
"26059","Hillsdale County","Michigan",9779.49,"8724",0.892071058920251,"46643"
"26061","Houghton County","Michigan",9192.07,"5561",0.604977986460068,"36686"
"26065","Ingham County","Michigan",62789.417,"58204",0.926971499034622,"280812"
"26067","Ionia County","Michigan",11557.065,"10605",0.917620520434903,"63884"
"26073","Isabella County","Michigan",21854.025,"14702",0.672736486757016,"70334"
"26075","Jackson County","Michigan",29200.653,"31329",1.07288696591819,"160201"
"26077","Kalamazoo County","Michigan",52927.953,"48867",0.923273945621891,"250738"
"26081","Kent County","Michigan",110128.414,"110040",0.999197173583195,"603219"
"26087","Lapeer County","Michigan",12326.86,"13265",1.07610535042987,"88210"
"26091","Lenawee County","Michigan",16700.202,"17234",1.03196356547065,"99763"
"26093","Livingston County","Michigan",15304.165,"14775",0.965423464788834,"180972"
"26099","Macomb County","Michigan",109268.94,"128170",1.17297742615605,"841126"
"26103","Marquette County","Michigan",10540.32,"10002",0.948927546791748,"67131"
"26107","Mecosta County","Michigan",9784.368,"9935",1.01539516911056,"42831"
"26111","Midland County","Michigan",12316.617,"11669",0.947419246697368,"83592"
"26115","Monroe County","Michigan",18586.407,"20908",1.12490811161081,"151932"
